familyname,foundryname,defaultlanguages,opensource,thirtydaypings,
FF Nuvo,FontFont,en,f,910735,
Le Monde Livre Classic,Typofonderie,en,f,910570,
Tandelle,Typodermic,en,f,907765,
Tandelle,Typodermic,en,f,905210,
Minion,Adobe,en,f,903345,
Proxima Nova,Mark Simonson Studio,en,f,902846,
Brioso,Adobe,en,f,902491,
Mic 32 New,Moretype,en,f,900037,
Tablet Gothic,TypeTogether,en,f,894796,
Roboto,Google,en,f,893848,
Paralucent,Device Fonts,en,f,893195,
Tenso,exljbris Font Foundry,en,f,892344,
Chaparral,Adobe,en,f,890787,
P22 Underground,P22,en,f,888398,
Garvis,JTD,en,f,884695,
Cheap Pine,HVD Fonts,en,f,883132,
Freight,Phil's Fonts,en,f,881956,
Chaparral,Adobe,en,f,880305,
Felt Tip,Mark Simonson Studio,en,f,876747,
Proxima Nova,Mark Simonson Studio,en,f,876574,
FF Nuvo,FontFont,en,f,875647,
Ronnia,TypeTogether,en,f,875417,
Korolev,Device Fonts,en,f,873887,
Iskra,TypeTogether,en,f,873195,
Minion,Adobe,en,f,871621,
Minion,Adobe,en,f,869413,
Adrianna,Chank Co,en,f,869068,
Sommet Slab,Insigne Design,en,f,867083,
FF Basic Gothic,FontFont,en,f,866949,
Cora,TypeTogether,en,f,864794,
Magneta,Positype,en,f,864374,
Alber New,Moretype,en,f,861492,
Warnock,Adobe,en,f,860049,
Tablet Gothic,TypeTogether,en,f,859999,
Ronnia,TypeTogether,en,f,858907,
FF Prater,FontFont,en,f,858198,
Mic 32 New,Moretype,en,f,855692,
Chennai,Insigne Design,en,f,854733,
Poetica,Adobe,en,f,852139,
HVD Bodedo,HVD Fonts,en,f,850522,
Catwing,Typodermic,en,f,848827,
Hedley New,Moretype,en,f,847820,
Sofia,Mostardesign,en,f,846411,
Kepler,Adobe,en,f,846249,
FF Chambers Sans,FontFont,en,f,844069,
FF Chambers Sans,FontFont,en,f,844069,
Plume,Dalton Maag,en,f,843992,
Pill Gothic,Betatype,en,f,840195,
Adrianna,Chank Co,en,f,839567,
Apolline,Typofonderie,en,f,839360,
JAF Mashine,Just Another Foundry,en,f,835771,
